23.751815,90.377931
23.752261,90.377602
23.752772,90.377323
23.753371,90.377023
23.753970,90.376701
23.754608,90.376325
23.755343,90.375869
23.755932,90.375472
23.756678,90.375075
23.757228,90.374753
23.757817,90.374377
23.758652,90.373830
23.759310,90.373487
23.759948,90.373133
23.760655,90.372725
23.761166,90.372425
23.761804,90.372028
23.762374,90.371728
23.762757,90.371471
23.763327,90.371149
23.763965,90.370838
23.764603,90.370602
23.765133,90.370366
23.765722,90.370184
23.766272,90.369948
23.766841,90.369712
23.767499,90.369476
23.768157,90.369176
23.768864,90.368940
23.769610,90.368629
23.770219,90.368361
23.770739,90.368179
23.771505,90.367900
23.772271,90.367578
23.772948,90.367342
23.773675,90.366881
23.774264,90.366409
23.774657,90.365937
23.775001,90.365465
23.775374,90.365025
23.776628,90.363251


